ID do Frame,Quadril Esquerdo,Joelho Esquerdo,Tornozelo Esquerdo,Ângulo
187,"[0.5619882345199585, 0.5040684342384338]","[0.551611602306366, 0.6907994747161865]","[0.5645783543586731, 0.8761502504348755]",172.81757554533064
188,"[0.5654655694961548, 0.5024093389511108]","[0.5550714731216431, 0.6892080903053284]","[0.5668636560440063, 0.875626266002655]",173.19564423235525
189,"[0.5680516362190247, 0.49977150559425354]","[0.5580568313598633, 0.6841810345649719]","[0.5687671303749084, 0.8707600235939026]",173.61228712882487
190,"[0.5707220435142517, 0.49756309390068054]","[0.5605429410934448, 0.6812039017677307]","[0.5724843740463257, 0.8691803216934204]",173.1924746834716
191,"[0.5708873867988586, 0.4966456890106201]","[0.5645014047622681, 0.6791372299194336]","[0.5751082897186279, 0.8686384558677673]",174.79219559446818
192,"[0.5725803375244141, 0.49688389897346497]","[0.5661855936050415, 0.6780934929847717]","[0.5738233327865601, 0.8679122924804688]",175.67474837268284
193,"[0.5748314261436462, 0.4969988465309143]","[0.565621018409729, 0.6761893630027771]","[0.5732500553131104, 0.8667845726013184]",174.7654022115531
194,"[0.5754490494728088, 0.4976777732372284]","[0.5651815533638, 0.6754910945892334]","[0.5720689296722412, 0.866605281829834]",174.63129953486376
195,"[0.5768261551856995, 0.49775853753089905]","[0.5652050971984863, 0.6759646534919739]","[0.5731432437896729, 0.8649211525917053]",173.86334211634713
196,"[0.5766259431838989, 0.4989263415336609]","[0.566679060459137, 0.6763630509376526]","[0.5746349096298218, 0.8609750270843506]",174.32379410214892
197,"[0.5764255523681641, 0.4998076260089874]","[0.5674869418144226, 0.6764461994171143]","[0.5756659507751465, 0.8590686321258545]",174.538717536722
198,"[0.5760514736175537, 0.5007039904594421]","[0.5677310228347778, 0.677619218826294]","[0.5757693648338318, 0.8573257327079773]",174.74616709592328
199,"[0.5769106149673462, 0.5021880865097046]","[0.5685442686080933, 0.6800841093063354]","[0.5788395404815674, 0.8561441898345947]",173.9607855092177
200,"[0.5765734314918518, 0.5044164657592773]","[0.5692702531814575, 0.6879040002822876]","[0.5805020332336426, 0.856731653213501]",173.9145445448102
201,"[0.5769351720809937, 0.5064869523048401]","[0.5700868368148804, 0.6911099553108215]","[0.5802167654037476, 0.8571440577507019]",174.3843135103295
202,"[0.5775917768478394, 0.507865309715271]","[0.5706754326820374, 0.6911680698394775]","[0.5794769525527954, 0.8574407696723938]",174.80907101247175
203,"[0.577203631401062, 0.507825493812561]","[0.5706096887588501, 0.6906295418739319]","[0.5781340599060059, 0.8575780987739563]",175.3535996951147
204,"[0.5769292712211609, 0.5077358484268188]","[0.5702078938484192, 0.6903871893882751]","[0.5774341225624084, 0.8576406836509705]",175.41858670669706
205,"[0.5759902000427246, 0.5077664852142334]","[0.5700631737709045, 0.6886158585548401]","[0.5773224234580994, 0.852199137210846]",175.58198369013445
206,"[0.5759062170982361, 0.5078060030937195]","[0.569911539554596, 0.6849242448806763]","[0.5765030384063721, 0.8487566709518433]",175.7575799285765
207,"[0.5763574838638306, 0.5083303451538086]","[0.571073055267334, 0.6840652227401733]","[0.5746449828147888, 0.8497084975242615]",177.04227523933082
208,"[0.5764842629432678, 0.511847198009491]","[0.5723534822463989, 0.6869614720344543]","[0.5727952122688293, 0.8501263856887817]",178.49358290514112
209,"[0.5765342116355896, 0.5136731266975403]","[0.5726730227470398, 0.6874906420707703]","[0.5707442164421082, 0.8558303117752075]",179.38389490172915
210,"[0.5764902830123901, 0.5148276686668396]","[0.5724441409111023, 0.6916926503181458]","[0.5691846609115601, 0.8605918288230896]",179.7950507347754
211,"[0.5764291286468506, 0.5181600451469421]","[0.5725950002670288, 0.6972931623458862]","[0.5687942504882812, 0.8638960123062134]",179.9192845232348
212,"[0.5759236812591553, 0.5186524987220764]","[0.5725063681602478, 0.6991738677024841]","[0.5678802728652954, 0.8681318759918213]",179.51611832141649
213,"[0.5751200318336487, 0.5203359127044678]","[0.5724905729293823, 0.7009128332138062]","[0.56781405210495, 0.8677289485931396]",179.22844118947478
214,"[0.5735173225402832, 0.5207382440567017]","[0.5724356174468994, 0.7022050023078918]","[0.5679346323013306, 0.8686615824699402]",178.79263014980143
215,"[0.5708997845649719, 0.5221033096313477]","[0.5715716481208801, 0.7025473117828369]","[0.5680109262466431, 0.8687952756881714]",178.5596850725976
216,"[0.5672873258590698, 0.5226122736930847]","[0.570071816444397, 0.7020983099937439]","[0.5680930614471436, 0.868817150592804]",178.43120133134295
217,"[0.5631446838378906, 0.5227503776550293]","[0.5672794580459595, 0.7020936608314514]","[0.5681455135345459, 0.8685302734375]",178.97741182625248
218,"[0.5593454241752625, 0.5229203701019287]","[0.5643261671066284, 0.7040736079216003]","[0.5668134689331055, 0.8684481382369995]",179.29199883044637
219,"[0.5555177330970764, 0.5232371687889099]","[0.5604984164237976, 0.7061850428581238]","[0.5644487738609314, 0.8682953119277954]",179.83645684667815
220,"[0.5518660545349121, 0.5230945348739624]","[0.5557492971420288, 0.7081007361412048]","[0.5616016983985901, 0.8695194721221924]",179.12604265874768
221,"[0.5478247404098511, 0.5228690505027771]","[0.552034318447113, 0.7080072164535522]","[0.5575160384178162, 0.8692101240158081]",179.3549401557293
222,"[0.5444085597991943, 0.5224151015281677]","[0.5487270355224609, 0.707669734954834]","[0.5558737516403198, 0.8718632459640503]",178.84308837123498
223,"[0.5401575565338135, 0.5220202207565308]","[0.5465688705444336, 0.7074600458145142]","[0.5556660890579224, 0.8717747926712036]",178.81120794796527
224,"[0.5363008379936218, 0.5219466090202332]","[0.5451678037643433, 0.7077368497848511]","[0.5547704696655273, 0.8721827268600464]",179.39046746000605
225,"[0.5323494076728821, 0.5218821167945862]","[0.5436186194419861, 0.707887589931488]","[0.553937554359436, 0.8720228672027588]",179.86968460329507
226,"[0.5286369919776917, 0.5213670134544373]","[0.5417908430099487, 0.707854151725769]","[0.5524097084999084, 0.8719457983970642]",179.66795023835354
227,"[0.5242907404899597, 0.5213388204574585]","[0.5401204228401184, 0.7076771259307861]","[0.5512269139289856, 0.871856153011322]",179.01439330861
228,"[0.5204284191131592, 0.5213562250137329]","[0.5389682054519653, 0.7077255249023438]","[0.5501366257667542, 0.8721831440925598]",178.20400504758038
229,"[0.5172914862632751, 0.5216052532196045]","[0.5365597009658813, 0.7081298232078552]","[0.5500648617744446, 0.872186541557312]",178.80817740404345
230,"[0.5139608979225159, 0.5221765041351318]","[0.5343537926673889, 0.70815110206604]","[0.5491035580635071, 0.8732725977897644]",178.84677598265054
231,"[0.5112805366516113, 0.5226300954818726]","[0.5321483612060547, 0.707459032535553]","[0.5474661588668823, 0.874302327632904]",178.80397813585822
232,"[0.5085655450820923, 0.5237975716590881]","[0.5307466387748718, 0.7074375748634338]","[0.5455970168113708, 0.8745536804199219]",178.19096580815938
233,"[0.505768895149231, 0.525117039680481]","[0.5302020907402039, 0.7071830630302429]","[0.5458661913871765, 0.8745121359825134]",177.7046112745599
234,"[0.5040091872215271, 0.5251192450523376]","[0.529419481754303, 0.7075486183166504]","[0.5463286638259888, 0.8748785257339478]",177.840701322555
235,"[0.5027498602867126, 0.5251156091690063]","[0.5276452898979187, 0.7069276571273804]","[0.5463619232177734, 0.876265823841095]",178.51020309987584
236,"[0.5023430585861206, 0.5249718427658081]","[0.5270140767097473, 0.7069203853607178]","[0.5464403033256531, 0.8780343532562256]",178.75510915601913
237,"[0.502017080783844, 0.5248443484306335]","[0.5265083312988281, 0.7069204449653625]","[0.5465623140335083, 0.8788096904754639]",178.99356936687894
238,"[0.5026534795761108, 0.5240404605865479]","[0.5263368487358093, 0.7065684795379639]","[0.5466768741607666, 0.8787934184074402]",179.34258162684642
239,"[0.5027562975883484, 0.5239034295082092]","[0.5265434980392456, 0.7069925665855408]","[0.5472472310066223, 0.8787933588027954]",179.46909958537813
240,"[0.5028435587882996, 0.5234449505805969]","[0.5269614458084106, 0.7069821953773499]","[0.5481489896774292, 0.8786173462867737]",179.55117500986051
241,"[0.5033795237541199, 0.5234349370002747]","[0.5272292494773865, 0.7071735858917236]","[0.5497685670852661, 0.8785547614097595]",179.90348460424113
242,"[0.5034165978431702, 0.5232129693031311]","[0.5273250341415405, 0.707149863243103]","[0.5519388914108276, 0.8778269290924072]",179.19966202950587
243,"[0.5048145055770874, 0.5211573243141174]","[0.5273491740226746, 0.7041686773300171]","[0.5537061095237732, 0.8759448528289795]",178.29634823303496
244,"[0.5071170926094055, 0.518968939781189]","[0.5281471014022827, 0.7015472054481506]","[0.5552908182144165, 0.8738349676132202]",177.61729166826152
245,"[0.5109564065933228, 0.5185762047767639]","[0.5298547744750977, 0.7007803916931152]","[0.5567251443862915, 0.872995138168335]",177.0533334179626
246,"[0.5148811936378479, 0.5186296105384827]","[0.5320476293563843, 0.6992500424385071]","[0.5571416616439819, 0.8706449866294861]",177.0996416079645
247,"[0.5190075039863586, 0.518954873085022]","[0.5350026488304138, 0.6987388730049133]","[0.5571659207344055, 0.8697649836540222]",177.70033411482282
248,"[0.5227736830711365, 0.5193246603012085]","[0.5378047227859497, 0.6988193988800049]","[0.557748556137085, 0.8708040118217468]",178.1721880769281
249,"[0.5267397165298462, 0.5202382206916809]","[0.5411989688873291, 0.7007840871810913]","[0.5578128099441528, 0.8752837181091309]",179.14018572547934
250,"[0.5309192538261414, 0.5208790898323059]","[0.543692946434021, 0.702362596988678]","[0.5576608180999756, 0.8752449750900269]",179.40698994973383
251,"[0.5347824692726135, 0.5208843350410461]","[0.5461331009864807, 0.702373743057251]","[0.5575442314147949, 0.8752180933952332]",179.8015383899479
252,"[0.5377968549728394, 0.5209826827049255]","[0.5480984449386597, 0.7024562954902649]","[0.5574816465377808, 0.8751959204673767]",179.86026218545211
253,"[0.5418182015419006, 0.5211328864097595]","[0.5499242544174194, 0.7028704285621643]","[0.5574220418930054, 0.8755888342857361]",179.93180105955634
254,"[0.5457900762557983, 0.5214307308197021]","[0.5517671704292297, 0.7028822302818298]","[0.5573378801345825, 0.8755744099617004]",179.96094174671964
255,"[0.5495516657829285, 0.5214353203773499]","[0.5544768571853638, 0.7026364803314209]","[0.5578911304473877, 0.8743376731872559]",179.58221335870002
256,"[0.5529505014419556, 0.5214309096336365]","[0.5562880039215088, 0.7024385929107666]","[0.5579802989959717, 0.873920202255249]",179.50908857325533
257,"[0.5564998388290405, 0.521577775478363]","[0.5590027570724487, 0.7029679417610168]","[0.5580710172653198, 0.8669906854629517]",178.88398426829383
258,"[0.5609514713287354, 0.5233310461044312]","[0.5598907470703125, 0.7066640853881836]","[0.5581087470054626, 0.869009256362915]",179.70260863526408
259,"[0.5637418031692505, 0.5236803889274597]","[0.5621057152748108, 0.7065567970275879]","[0.559190571308136, 0.8692408204078674]",179.4860016779473
260,"[0.5662730932235718, 0.5237090587615967]","[0.5638588070869446, 0.7061234712600708]","[0.5592330694198608, 0.8701122999191284]",179.14252501054335
261,"[0.5691014528274536, 0.5239083766937256]","[0.5658968687057495, 0.7057324051856995]","[0.559280276298523, 0.8685644268989563]",178.6828099599572
262,"[0.5713911652565002, 0.5241029262542725]","[0.5677897930145264, 0.7044476270675659]","[0.5593709349632263, 0.8684888482093811]",178.20607574916892
263,"[0.5732484459877014, 0.5244553089141846]","[0.5687371492385864, 0.7043312191963196]","[0.5597089529037476, 0.8683846592903137]",178.2867531983491
264,"[0.575299859046936, 0.525815486907959]","[0.5701919794082642, 0.7043198943138123]","[0.5602196455001831, 0.8671873211860657]",178.13523113592032
265,"[0.5762876272201538, 0.5279436707496643]","[0.5708020925521851, 0.704927384853363]","[0.5605555772781372, 0.8666893839836121]",178.1508368393724
266,"[0.5766729712486267, 0.5287039279937744]","[0.571599006652832, 0.7049189209938049]","[0.5606200695037842, 0.8649316430091858]",177.7242507450165
267,"[0.577875018119812, 0.5286731123924255]","[0.5718792080879211, 0.704887330532074]","[0.5605971813201904, 0.8651086688041687]",177.9209277602534
268,"[0.5784062743186951, 0.52860426902771]","[0.5726161003112793, 0.7053675055503845]","[0.5605887770652771, 0.8651797771453857]",177.5722340313769
269,"[0.5785328149795532, 0.5284188985824585]","[0.5732415318489075, 0.7054548263549805]","[0.5606573224067688, 0.8650086522102356]",177.20230330323733
270,"[0.5787510275840759, 0.5283826589584351]","[0.5739653706550598, 0.7059721350669861]","[0.5608142018318176, 0.8650789856910706]",176.81851462015612
271,"[0.5792275667190552, 0.5288150310516357]","[0.5744017362594604, 0.7061877250671387]","[0.5608838796615601, 0.8651225566864014]",176.69701055284466
272,"[0.5806139707565308, 0.5287750959396362]","[0.574682354927063, 0.7065054774284363]","[0.5609030723571777, 0.8651680946350098]",176.9480129595006
273,"[0.5809127688407898, 0.528747022151947]","[0.5746468305587769, 0.7055163979530334]","[0.5611176490783691, 0.8651227355003357]",177.18496334551105
274,"[0.5814378261566162, 0.5291022658348083]","[0.5745692849159241, 0.7059228420257568]","[0.5612939596176147, 0.8646738529205322]",177.44436303189732
275,"[0.5817214846611023, 0.5291957259178162]","[0.5746771097183228, 0.7052566409111023]","[0.5612918734550476, 0.864697277545929]",177.492441692573
276,"[0.5820261836051941, 0.5291813015937805]","[0.5749022960662842, 0.7035611867904663]","[0.5611667633056641, 0.8647617101669312]",177.46910578664347
277,"[0.5820708274841309, 0.5291100740432739]","[0.5749114751815796, 0.7021141052246094]","[0.5612444281578064, 0.8647248148918152]",177.56541078955613
278,"[0.5822633504867554, 0.5290336012840271]","[0.574939489364624, 0.7015777826309204]","[0.5612431764602661, 0.8646409511566162]",177.62930774428744
279,"[0.582352876663208, 0.5290234684944153]","[0.5751523375511169, 0.7016206383705139]","[0.5611645579338074, 0.8647593855857849]",177.48827644656504
280,"[0.5822923183441162, 0.5290374159812927]","[0.5754071474075317, 0.7015359997749329]","[0.5609685182571411, 0.8652744889259338]",177.2463450230422
281,"[0.5821992754936218, 0.528952956199646]","[0.5754927396774292, 0.7015646696090698]","[0.5605641603469849, 0.8663768172264099]",177.04932014461772
282,"[0.5821494460105896, 0.5284433364868164]","[0.5755589604377747, 0.701475977897644]","[0.5602704882621765, 0.8668719530105591]",176.90007220699832
283,"[0.5820267200469971, 0.5283343195915222]","[0.5755391120910645, 0.7014559507369995]","[0.5600444078445435, 0.8671507835388184]",176.80372115044932
284,"[0.581785261631012, 0.5282766819000244]","[0.5755225419998169, 0.7018561363220215]","[0.5599456429481506, 0.8675574660301208]",176.69596876085768
285,"[0.5811702013015747, 0.5282952785491943]","[0.5754846334457397, 0.702223539352417]","[0.5598777532577515, 0.8678944706916809]",176.49066889290188
286,"[0.5803467631340027, 0.5282869935035706]","[0.57539963722229, 0.7020265460014343]","[0.5598615407943726, 0.8679059147834778]",176.27967951739143
287,"[0.579818069934845, 0.5282815098762512]","[0.5751519203186035, 0.7019897103309631]","[0.5598338842391968, 0.8679060339927673]",176.263894495357
288,"[0.5792714953422546, 0.5283010005950928]","[0.5746956467628479, 0.7019890546798706]","[0.5598326325416565, 0.867911696434021]",176.39034268948862
289,"[0.5784145593643188, 0.5282625555992126]","[0.5738858580589294, 0.7014332413673401]","[0.5598320960998535, 0.8678981065750122]",176.67229756997457
290,"[0.5764749050140381, 0.5282785296440125]","[0.5729382038116455, 0.7013351917266846]","[0.5598295331001282, 0.867889404296875]",176.6705768898494
291,"[0.5740283727645874, 0.5282487869262695]","[0.5721127390861511, 0.7015495896339417]","[0.5598289966583252, 0.8670784831047058]",176.389224470849
292,"[0.5719215273857117, 0.5282249450683594]","[0.5707858800888062, 0.7020771503448486]","[0.5598312616348267, 0.8670651912689209]",176.57560525524306
293,"[0.5695627331733704, 0.5281901359558105]","[0.5694271326065063, 0.7024068832397461]","[0.5598273277282715, 0.8668626546859741]",176.7038504880645
294,"[0.5664260983467102, 0.5280320644378662]","[0.5679949522018433, 0.7029958367347717]","[0.5598136782646179, 0.8686832189559937]",176.65941562514692
295,"[0.5631318688392639, 0.5280569791793823]","[0.5650943517684937, 0.7034348249435425]","[0.5602022409439087, 0.8679646253585815]",177.65576085217765
296,"[0.5591989755630493, 0.5280542373657227]","[0.5618399381637573, 0.7051147222518921]","[0.5601997375488281, 0.869428277015686]",178.57354729163447
297,"[0.5559664964675903, 0.5279889106750488]","[0.5605641007423401, 0.7050888538360596]","[0.5597474575042725, 0.87056565284729]",178.2301488906855
298,"[0.5523632764816284, 0.5275053381919861]","[0.5584413409233093, 0.7050727605819702]","[0.559320330619812, 0.871313750743866]",178.34249829424718
299,"[0.5479671359062195, 0.5265581011772156]","[0.5555964708328247, 0.705022394657135]","[0.5594028234481812, 0.8713805079460144]",178.86282623820114
300,"[0.5443263053894043, 0.5260480642318726]","[0.5520833730697632, 0.7050114274024963]","[0.559374988079071, 0.8709515929222107]",179.96587174197205
301,"[0.5406967401504517, 0.5259196162223816]","[0.5491660237312317, 0.7052567601203918]","[0.5593788623809814, 0.8709415793418884]",179.17655389832558
302,"[0.5366411209106445, 0.5257980823516846]","[0.5477619767189026, 0.7051286101341248]","[0.5592640042304993, 0.8716163635253906]",179.59647383702082
303,"[0.5333828926086426, 0.5257968306541443]","[0.5454689264297485, 0.7051151394844055]","[0.5576611161231995, 0.8711138963699341]",179.65520971837674
304,"[0.5295964479446411, 0.5253203511238098]","[0.5437930822372437, 0.7052037715911865]","[0.5574067234992981, 0.8711585998535156]",179.8229053882749
305,"[0.5252247452735901, 0.5234159827232361]","[0.5419533848762512, 0.702813982963562]","[0.5573799014091492, 0.8690031170845032]",179.9759326351263
306,"[0.5221132040023804, 0.523069441318512]","[0.5405552387237549, 0.7028321623802185]","[0.5572912096977234, 0.870203971862793]",179.8526452026518
307,"[0.5189249515533447, 0.5230386257171631]","[0.5384094715118408, 0.7021209001541138]","[0.5573007464408875, 0.8707613348960876]",179.81778800849148
308,"[0.5155305862426758, 0.5227478742599487]","[0.5365920066833496, 0.6993180513381958]","[0.5572607517242432, 0.8705650568008423]",179.9200897096201
309,"[0.5122631788253784, 0.5246342420578003]","[0.5344125032424927, 0.7004016637802124]","[0.5572395920753479, 0.8705940246582031]",179.54304907177402
310,"[0.5094767808914185, 0.5249279737472534]","[0.5323089361190796, 0.7008660435676575]","[0.5570509433746338, 0.8686501383781433]",179.00559523439054
311,"[0.5073179006576538, 0.5255630016326904]","[0.5297906398773193, 0.7009121179580688]","[0.5568535327911377, 0.864743709564209]",177.92338450508575
312,"[0.5048719644546509, 0.525641143321991]","[0.5275476574897766, 0.7007507681846619]","[0.5563367009162903, 0.8646258115768433]",177.4145489017915
313,"[0.5030248165130615, 0.5255627632141113]","[0.5253053903579712, 0.6997407078742981]","[0.5551872849464417, 0.8599430322647095]",176.72386592943928
314,"[0.5014726519584656, 0.5255581140518188]","[0.5236374139785767, 0.6985832452774048]","[0.5545921325683594, 0.8605583310127258]",176.4806915923925
315,"[0.5009579658508301, 0.5245082378387451]","[0.5224540829658508, 0.6960593461990356]","[0.5536207556724548, 0.8606871962547302]",176.4220579607817
316,"[0.500490128993988, 0.5241291522979736]","[0.5216981768608093, 0.696106493473053]","[0.5524700880050659, 0.8599196672439575]",176.39126232336957
317,"[0.49998727440834045, 0.5238189101219177]","[0.5213736295700073, 0.6962213516235352]","[0.5520563721656799, 0.8594089150428772]",176.4228535515031
318,"[0.5000395774841309, 0.5237230658531189]","[0.5221778154373169, 0.6963346004486084]","[0.5521810054779053, 0.8596211671829224]",176.89684318110216
319,"[0.5011473894119263, 0.523642897605896]","[0.5228925943374634, 0.6978456974029541]","[0.5526133179664612, 0.8597801923751831]",176.71519151181968
320,"[0.5017627477645874, 0.5231125950813293]","[0.5231281518936157, 0.6991870999336243]","[0.5539777874946594, 0.8603654503822327]",176.0832152913545
321,"[0.5021124482154846, 0.5221176743507385]","[0.5246604681015015, 0.6996473073959351]","[0.5547161102294922, 0.8634920120239258]",176.84361473549572
322,"[0.5026763081550598, 0.5162473320960999]","[0.5258932113647461, 0.6991150379180908]","[0.5549803972244263, 0.8636484742164612]",177.2100702024374
323,"[0.5054908394813538, 0.5119698643684387]","[0.5293609499931335, 0.6991181373596191]","[0.5556396842002869, 0.8677345514297485]",178.41038982447319
324,"[0.5094689130783081, 0.5124058127403259]","[0.5331153869628906, 0.6986014246940613]","[0.5569581389427185, 0.8675687313079834]",179.20580343101489
325,"[0.5136362314224243, 0.5129565596580505]","[0.5355613231658936, 0.6987366676330566]","[0.5576153993606567, 0.8702651858329773]",179.40416509222024
326,"[0.5183733105659485, 0.5137206315994263]","[0.5382806062698364, 0.6991409659385681]","[0.5584821701049805, 0.8718450665473938]",179.45628684842757
327,"[0.5229966640472412, 0.5174078345298767]","[0.5400775671005249, 0.7014589905738831]","[0.5590092539787292, 0.8716368079185486]",178.95430417777368
328,"[0.52837073802948, 0.5193433165550232]","[0.5427346229553223, 0.701603889465332]","[0.5600997805595398, 0.8717542886734009]",178.6788452088333
329,"[0.5334293842315674, 0.5200085639953613]","[0.5457583665847778, 0.7025412917137146]","[0.5601446628570557, 0.8715882897377014]",178.99982956591973
330,"[0.5369191765785217, 0.5206164717674255]","[0.5484068393707275, 0.7041359543800354]","[0.5602701902389526, 0.8732451796531677]",179.5689978520896
331,"[0.5407909154891968, 0.521033763885498]","[0.5506779551506042, 0.7041748762130737]","[0.5597958564758301, 0.8746259212493896]",179.9718274364175
332,"[0.5451781153678894, 0.5219323635101318]","[0.5525086522102356, 0.7043666243553162]","[0.5597456693649292, 0.8744326233863831]",179.86430554016158
333,"[0.5487354397773743, 0.522223174571991]","[0.5551420450210571, 0.7054644227027893]","[0.560025691986084, 0.874746561050415]",179.6500781900935
334,"[0.5528756380081177, 0.524310290813446]","[0.5585600733757019, 0.705964982509613]","[0.5602119565010071, 0.8744208216667175]",178.76948099576296
335,"[0.5560461282730103, 0.5246862769126892]","[0.5592710971832275, 0.7062556147575378]","[0.560249388217926, 0.8700808882713318]",179.324580705966
336,"[0.5595919489860535, 0.5251295566558838]","[0.5596413612365723, 0.7069578766822815]","[0.5606035590171814, 0.8700424432754517]",179.67752948674638
337,"[0.5628154873847961, 0.5253897905349731]","[0.5618473887443542, 0.7067497968673706]","[0.561640202999115, 0.8693357706069946]",179.76717120472728
338,"[0.5656077265739441, 0.5253693461418152]","[0.5638045072555542, 0.706277072429657]","[0.5622255206108093, 0.8704229593276978]",179.9800510189664
339,"[0.5681018233299255, 0.525787889957428]","[0.5647619962692261, 0.7063369154930115]","[0.5622466206550598, 0.871425986289978]",179.81317184491456
340,"[0.5696293115615845, 0.5259146690368652]","[0.5667906403541565, 0.7058852910995483]","[0.5622252225875854, 0.8714268803596497]",179.3239083911205
341,"[0.5708388090133667, 0.5264074206352234]","[0.5679742097854614, 0.705818235874176]","[0.5627628564834595, 0.8693598508834839]",179.08959961174781
342,"[0.5725066661834717, 0.526383101940155]","[0.5685399174690247, 0.7054308652877808]","[0.5628699660301208, 0.8693069219589233]",179.28757541401032
343,"[0.5736485719680786, 0.5263649225234985]","[0.5689622163772583, 0.704959511756897]","[0.5628873705863953, 0.8691858053207397]",179.38466190672384
344,"[0.5747049450874329, 0.5264173150062561]","[0.5697423815727234, 0.7042916417121887]","[0.5628703832626343, 0.8691912293434143]",179.21174168932302
345,"[0.575269341468811, 0.5264062881469727]","[0.5704702138900757, 0.704204797744751]","[0.5631164312362671, 0.868019163608551]",178.97581273487137
346,"[0.5748303532600403, 0.5266920924186707]","[0.5711227059364319, 0.705704927444458]","[0.5631064772605896, 0.8680435419082642]",178.35956826153617
347,"[0.5750791430473328, 0.5266938805580139]","[0.5717951059341431, 0.7057812809944153]","[0.5630989670753479, 0.8681573867797852]",177.9849732748275
348,"[0.5767521262168884, 0.5260721445083618]","[0.5721324682235718, 0.7065817713737488]","[0.5630252957344055, 0.8694058060646057]",178.26464467330527
349,"[0.5763567686080933, 0.5217925906181335]","[0.5724152326583862, 0.7061883807182312]","[0.5630194544792175, 0.8694042563438416]",177.92984910495758
350,"[0.5761115550994873, 0.5206547975540161]","[0.5726228356361389, 0.7048969268798828]","[0.5630013346672058, 0.8680030107498169]",177.70887409516567
351,"[0.5759623646736145, 0.5201116800308228]","[0.5726661086082458, 0.7032564878463745]","[0.562990665435791, 0.8678787350654602]",177.6674929172932
352,"[0.5757148861885071, 0.5202852487564087]","[0.5724695920944214, 0.7032703161239624]","[0.5629867315292358, 0.8678991794586182]",177.71937409306716
353,"[0.5755277872085571, 0.5210475921630859]","[0.5723231434822083, 0.7035474181175232]","[0.5630050301551819, 0.8678777813911438]",177.76059558960367
354,"[0.5741831660270691, 0.5209609866142273]","[0.5721016526222229, 0.7032841444015503]","[0.5630016326904297, 0.8677087426185608]",177.4863129724642
355,"[0.5710276365280151, 0.5210214853286743]","[0.5706623792648315, 0.7037150263786316]","[0.5629990100860596, 0.8675583004951477]",177.4366321393608
356,"[0.5678520798683167, 0.5206481218338013]","[0.5685046911239624, 0.7035360932350159]","[0.562569260597229, 0.8684089779853821]",177.73378853705353
357,"[0.5647817850112915, 0.5202279686927795]","[0.5660575032234192, 0.7034091353416443]","[0.5625115633010864, 0.8687002658843994]",178.3720244259975
358,"[0.5606532096862793, 0.5195651054382324]","[0.5641370415687561, 0.7022008299827576]","[0.5625113248825073, 0.8687437176704407]",178.34792030703932
359,"[0.5569710731506348, 0.5185459852218628]","[0.5618473291397095, 0.7008526921272278]","[0.5625495910644531, 0.8687217831611633]",178.70753335212234
360,"[0.5530280470848083, 0.5183870792388916]","[0.5595386028289795, 0.7006357312202454]","[0.5622779130935669, 0.869341254234314]",178.8843084567866
361,"[0.5491431951522827, 0.5177743434906006]","[0.5575026273727417, 0.7004122138023376]","[0.5612637400627136, 0.8693459630012512]",178.65478370693995
362,"[0.5450079441070557, 0.5178195238113403]","[0.5549246072769165, 0.7011061906814575]","[0.5613726377487183, 0.8728708624839783]",179.05291971044608
363,"[0.5410221219062805, 0.5177674889564514]","[0.5515404939651489, 0.7012434005737305]","[0.5613633394241333, 0.8721365332603455]",179.99137055544782
364,"[0.5371578335762024, 0.5179983377456665]","[0.5483755469322205, 0.7016019225120544]","[0.5607874989509583, 0.872021496295929]",179.33068511131108
365,"[0.5344470739364624, 0.5183746218681335]","[0.5467308759689331, 0.7015947699546814]","[0.5604885816574097, 0.8722062110900879]",179.2253735205183
366,"[0.5320019721984863, 0.5186597108840942]","[0.5454851388931274, 0.7016023993492126]","[0.5600690841674805, 0.8723210096359253]",179.33242811131467
367,"[0.528265118598938, 0.5184108018875122]","[0.544002115726471, 0.7015573978424072]","[0.5599778294563293, 0.8722678422927856]",179.56473711919884
368,"[0.5257741212844849, 0.5181035995483398]","[0.5428211092948914, 0.7014008164405823]","[0.5598856806755066, 0.872725784778595]",179.62523109616546
369,"[0.5228223204612732, 0.5177745223045349]","[0.5403631925582886, 0.698216438293457]","[0.5597875714302063, 0.8718553185462952]",179.16937036187284
370,"[0.5198403000831604, 0.5175756812095642]","[0.5384112596511841, 0.6977053284645081]","[0.5595826506614685, 0.8717483282089233]",178.9506225952731
371,"[0.51705002784729, 0.5175922513008118]","[0.5362749099731445, 0.6975982189178467]","[0.559450626373291, 0.8719085454940796]",178.5227218570176
372,"[0.5143817663192749, 0.5177944898605347]","[0.5347158312797546, 0.6968023777008057]","[0.5592820048332214, 0.869257926940918]",178.3734265959195
373,"[0.5123318433761597, 0.5179866552352905]","[0.5335631966590881, 0.6961222887039185]","[0.5591932535171509, 0.8698068261146545]",178.40244941584967
374,"[0.5099090933799744, 0.5183432102203369]","[0.5317217111587524, 0.6948323249816895]","[0.5591688752174377, 0.8698381781578064]",178.1321491926359
375,"[0.5071099996566772, 0.5194787979125977]","[0.5291097164154053, 0.693453311920166]","[0.5585345029830933, 0.8658519983291626]",177.52117332999018
376,"[0.5048319697380066, 0.5204286575317383]","[0.5286264419555664, 0.6947224736213684]","[0.5585312843322754, 0.8649622797966003]",177.81082062369165
