ID do Frame,Quadril Esquerdo,Joelho Esquerdo,Tornozelo Esquerdo,Ângulo
15,"[0.5079964995384216, 0.5171898603439331]","[0.515444278717041, 0.6881343126296997]","[0.5223659873008728, 0.8431217670440674]",179.93758986823048
16,"[0.5112400054931641, 0.5163639783859253]","[0.5174118280410767, 0.6880370378494263]","[0.5226647257804871, 0.8430101871490479]",179.8823725455162
17,"[0.5141521692276001, 0.5164614319801331]","[0.5178277492523193, 0.6880300641059875]","[0.5228375196456909, 0.8419015407562256]",179.36249575427823
18,"[0.5167182683944702, 0.5162481069564819]","[0.5185126662254333, 0.6874779462814331]","[0.52287757396698, 0.8410062789916992]",178.9718907605474
19,"[0.518945574760437, 0.5165704488754272]","[0.5196077823638916, 0.6887781620025635]","[0.5229203104972839, 0.8418934941291809]",178.9809689484589
20,"[0.5215520262718201, 0.517210841178894]","[0.5209041833877563, 0.6906993389129639]","[0.5229138135910034, 0.8432424664497375]",179.03126529752745
21,"[0.5233713388442993, 0.5179035067558289]","[0.5224046111106873, 0.6915451884269714]","[0.5232757329940796, 0.8433787226676941]",179.35229416949406
22,"[0.5256413817405701, 0.5187574625015259]","[0.5235177874565125, 0.6925840377807617]","[0.5233952403068542, 0.8434129357337952]",179.34661941516876
23,"[0.527884304523468, 0.5187653303146362]","[0.5257627367973328, 0.6920925378799438]","[0.5233769416809082, 0.8446147441864014]",179.80511587524404
24,"[0.529268205165863, 0.518420934677124]","[0.5263787508010864, 0.6882160305976868]","[0.5237175226211548, 0.8433701992034912]",179.9922757887731
25,"[0.5311892032623291, 0.5184076428413391]","[0.5275372266769409, 0.6881012320518494]","[0.5242276191711426, 0.8433911800384521]",179.98805551194138
26,"[0.5320287942886353, 0.518570601940155]","[0.5287963151931763, 0.6882288455963135]","[0.5243450999259949, 0.8436757326126099]",179.4513037602019
27,"[0.5338147878646851, 0.519164502620697]","[0.530173122882843, 0.6882374286651611]","[0.5244406461715698, 0.8437438011169434]",179.12274902362853
28,"[0.5346294641494751, 0.5211164355278015]","[0.5306581258773804, 0.687735378742218]","[0.5243717432022095, 0.8434959650039673]",179.05421685617637
29,"[0.5341797471046448, 0.521442174911499]","[0.5309662818908691, 0.6854566335678101]","[0.5243584513664246, 0.8434339165687561]",178.72727211985082
30,"[0.5340572595596313, 0.52142733335495]","[0.5317730903625488, 0.6851367950439453]","[0.524461567401886, 0.843744158744812]",178.16000500715765
31,"[0.5341347455978394, 0.5212403535842896]","[0.5323716998100281, 0.6850311160087585]","[0.5249441266059875, 0.8438462018966675]",177.93901140435923
